0: "Anlagenmechaniker - Apparatetechnik"
1: "Ausbaufacharbeiter - Schwerpunkt Estricharbeiten"
2: "Ausbaufacharbeiter - Schwerpunkt Fliesen, Platten- und Mosai"
3: "Ausbaufacharbeiter - Schwerpunkt Stuckateurarbeiten"
4: "Ausbaufacharbeiter - Schwerpunkt Trockenbauarbeiten"
5: "Ausbaufacharbeiter - Schwerpunkt Wärme-, Kälte-, Schallschut"
6: "Ausbaufacharbeiter - Schwerpunkt Zimmerarbeiten"
7: "Bauten- und Objektbeschichter"
8: "Bauwerksmechaniker für Abbruch- und Betontrenntechnik"
9: "Behälter- und Apparatebauer / Kupferschmied"
10: "Beton- u.Stahlbetonbauer"
11: "Betonfertigteilbauer"
12: "BGJ/s-Holztechnik"
13: "BGJ/s-Zimmerer"
14: "Büchsenmacher"
15: "Elektroanlagenmonteur"
16: "Elektroniker f. Maschinen- u. Antriebstechnik(IHK)"
17: "Elektroniker FR: Automatisierungstechnik"
18: "Elektroniker FR: Energie- und Gebäudetechnik"
19: "Elektroniker FR: Informations- u. Telekommunikationstechnik"
20: "Elektroniker für Automatisierungstechnik"
21: "Elektroniker für Betriebstechnik"
22: "Elektroniker für Gebäude- und Infrastruktursysteme"
23: "Elektroniker für Geräte und Systeme"
24: "Elektroniker für Informations- und Systemtechnik"
25: "Elektroniker für Maschinen- u. Antriebstechnik(HW)"
26: "Estrichleger"
27: "Fachinformatiker - Anwendungsentwicklung"
28: "Fachinformatiker - Systemintegration"
29: "Fachkraft für Metalltechnik - Konstruktionstechnik"
30: "Fachkraft für Metalltechnik - Montagetechnik"
31: "Fachkraft für Metalltechnik - Umform- und Drahttechnik"
32: "Fachkraft für Metalltechnik - Zerspanungstechnik"
33: "Fachverkäufer im Lebensmittelhandwerk - Bäckerei/Konditorei"
34: "Fahrradmonteur"
35: "Fahrzeuglackierer"
36: "Fassadenmonteur"
37: "Feinwerkmechaniker - Feinmechanik"
38: "Feinwerkmechaniker - Maschinenbau"
39: "Feinwerkmechaniker - Werkzeugbau"
40: "Feinwerkmechaniker - Zerspanungstechnik"
41: "Fertigungsmechaniker"
42: "Feuerungs- und Schornsteinbauer"
43: "FH-Dual Fachinformatiker"
44: "Fliesen-, Platten- und Mosaikleger"
45: "Fotograf"
46: "Friseur"
47: "Gießereimechaniker -  Handformguss"
48: "Gießereimechaniker - Maschinenform-, Druck- und Kokillenguss"
49: "Hochbaufacharbeiter - Schwerpunkt Beton- und Stahlbetonbauar"
50: "Hochbaufacharbeiter - Schwerpunkt Maurerarbeiten"
51: "Holzmechaniker"
52: "Industrieelektriker FR: Betriebstechnik"
53: "Industrieelektriker FR: Geräte und Systeme"
54: "Industriemechaniker"
55: "Informatikkaufmann"
56: "Informations- u. Telekommunikationssystem-Elektron"
57: "Informations- u. Telekommunikationssystem-Kaufmann"
58: "Informationselektroniker - Geräte- und Systemtechn"
59: "Informationselektroniker Bürosystemtechnik"
60: "Kanalbauer"
61: "Kfz-Mechatroniker - Karosserietechnik"
62: "Kfz-Mechatroniker - System- und Hochvolttechnik"
63: "Kfz-Mechatroniker-Motorradtechnik"
64: "Kfz-Mechatroniker-Nutzfahrzeugtechnik"
65: "Kfz-Mechatroniker-PKW-Technik"
66: "Klempner"
67: "Konstruktionsmechaniker"
68: "Land- und Baumaschinenmechatroniker"
69: "Maler und Lackierer - Bauten- u. Korrosionsschutz"
70: "Maler und Lackierer - Gestaltung u. Instandhaltung"
71: "Maler und Lackierer - Kirchenmalerei-Denkmalpflege"
72: "Maschinen- und Anlagenführer - Fertigungsmechaniker"
73: "Maschinen- und Anlagenführer - Metalltechnik"
74: "Maurer"
75: "Mech. f. Karosserie-Fahrzeugbautechnik-Instandhalt"
76: "Mech. f. Karosserie-Fahrzeugbautechnik-Karosserie"
77: "Mechaniker für Reifen- und Vulkanisationstechn. FR Reifen- u"
78: "Mechaniker für Reifen- und Vulkanisationstechn. FR Vulkanisa"
79: "Mechatroniker"
80: "Metall- und Glockengießer - Zinngusstechnik"
81: "Metallbauer - Konstruktionstechnik"
82: "Metallbauer - Metallgestaltung"
83: "Metallbauer-Nutzfahrzeugbau/Fahrzeugkonstruktionst"
84: "mithelfende Familienangehörige"
85: "ohne Berufstätigkeit und Arbeitslose"
86: "Praktikanten (EQJ-Maßnahme)"
87: "Rohrleitungsbauer"
88: "Schneidwerkzeugmechaniker - Schneidemaschinen- und Messersch"
89: "Schneidwerkzeugmechaniker - Schneidemaschinen- und Messersch"
90: "Schneidwerkzeugmechaniker - Schneidwerkzeug- und Schleiftech"
91: "Schneidwerkzeugmechaniker - Schneidwerkzeug- und Schleiftech"
92: "Stanz- und Umformmechaniker"
93: "Straßenbauer"
94: "Stukkateur"
95: "Systemelektroniker"
96: "Teilnehmer an Lehrgängen der Arbeitsverwaltung"
97: "Tiefbaufacharbeiter - Schwerpunkt Gleisbauarbeiten"
98: "Tiefbaufacharbeiter - Schwerpunkt Kanalbauarbeiten"
99: "Tiefbaufacharbeiter - Schwerpunkt Rohrleitungsbauarbeiten"
100: "Tiefbaufacharbeiter - Schwerpunkt Straßenbauarbeiten"
101: "Tischler"
102: "Trockenbaumonteur"
103: "Unbegleitete Flüchtlinge"
104: "Verfahrensmechaniker in der Hütten- u. Halbzeugindustrie"
105: "Werksteinhersteller"
106: "Werkzeugmechaniker"
107: "Zerspanungsmechaniker"
108: "Zimmerer"
109: "Zweiradmechatroniker - Fahrradtechnik"
110: "Zweiradmechatroniker - Motorradtechnik"
